,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.40655,0.0,0.0,0.0,0.0,0.0,2.3340147,7.5,2.3550487,8.0
1,0.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,11.796556,1.1000518,0.101639986,2.2312384,2.2312384,15.4,2.0930269,21.8,2.1400063,24.0
2,1.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,13.521749,0.8979202,0.09123206,2.0814912,2.0814912,22.8,2.0010424,26.2,2.050115,20.0
3,2.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,15.511694,1.453972,0.08777976,2.0002544,2.0002544,25.5,1.9653857,29.7,2.0862632,26.0
4,3.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,17.62907,0.9574652,0.08491707,1.9993198,1.9993198,29.2,1.9471091,27.0,2.0390656,20.0
5,4.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,19.643412,1.1454861,0.088483095,1.9531618,1.9531618,28.0,1.89947,31.0,2.074831,23.0
6,5.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,21.346203,1.0725466,0.091607094,1.9263533,1.9263533,28.8,1.8730867,32.2,2.1085646,23.0
7,6.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,22.963234,1.7843242,0.091554165,1.9249897,1.9249897,30.1,1.8779855,31.2,2.126201,24.0
8,7.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,24.621792,0.9777659,0.08551693,1.9109695,1.9109695,30.1,1.8868617,30.8,2.1028383,23.0
9,8.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,26.30752,0.9906661,0.088479996,1.8897207,1.8897207,31.5,1.8433379,33.0,2.0926569,17.0
10,9.0,0.01,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,27.560322,0.9471672,0.087310076,1.8536586,1.8536586,32.5,1.8044169,34.9,2.0670772,20.0
