,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.458362,0.0,0.0,0.0,0.0,0.0,0.40702656,13.3,0.4070557,10.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.83802,0.051603734,0.8006041,0.3970797,0.3970797,21.0,0.38603368,27.6,0.3905831,22.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.088022,0.04901077,0.872592,0.38191515,0.38191515,28.3,0.3767783,28.7,0.38415822,25.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,23.653185,0.047260027,0.87135625,0.37490353,0.37490353,28.8,0.37115425,30.2,0.38066345,25.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,28.790445,0.045961693,0.8387661,0.37011242,0.37011242,30.7,0.3669957,31.8,0.3784203,25.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,32.716232,0.045022998,0.78557515,0.36641222,0.36641222,31.2,0.36368835,32.2,0.37689012,25.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,35.867783,0.04430854,0.7881129,0.36339825,0.36339825,31.9,0.36093643,33.8,0.37576768,25.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,38.63081,0.043733474,0.84100795,0.36085102,0.36085102,33.3,0.3585758,34.4,0.37491506,27.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,41.20485,0.043249175,0.7852111,0.35864478,0.35864478,34.1,0.3565091,35.2,0.3742576,27.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,43.69114,0.04282758,0.7855649,0.35670003,0.35670003,34.9,0.35467222,35.6,0.3737487,27.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,46.13942,0.042452116,0.7697339,0.35496247,0.35496247,35.4,0.35301998,35.6,0.37335676,28.0
