,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.877341,0.0,0.0,0.0,0.0,0.0,2.3282318,9.3,2.3246439,5.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.0784876,2.9658823,0.09903097,1.847341,1.847341,45.8,1.5014129,64.5,1.553106,64.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.3409536,1.8414396,0.050539017,1.3850206,1.3850206,69.0,1.2471167,75.5,1.3209323,77.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.6032531,1.3665372,0.051061153,1.1735295,1.1735295,77.9,1.070304,82.3,1.1776657,78.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.8608143,1.1356478,0.04662609,1.015649,1.015649,83.2,0.930157,85.6,1.0704945,80.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.109984,0.9720862,0.049448013,0.88909024,0.88909024,85.8,0.81567323,87.6,0.9879504,80.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.349091,0.84846336,0.04765272,0.78495455,0.78495455,88.1,0.7205803,89.5,0.92265344,81.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.577725,0.7526764,0.047320127,0.69744956,0.69744956,89.8,0.6400463,90.9,0.86919904,82.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.7953925,0.67088336,0.04894328,0.6228539,0.6228539,91.7,0.57151645,92.1,0.825701,81.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.0014687,0.59409785,0.04764867,0.5588958,0.5588958,92.3,0.5135855,93.5,0.79125243,82.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.1966014,0.5204855,0.046394825,0.5037034,0.5037034,93.2,0.46463817,93.9,0.76350605,82.0
